FECHA,DEPARTAMENTO,MUNICIPIO,DIA,CLASE DE ESTUPEFACIENTE,CLASE DE SITIO,ZONA,UNIDAD DE MEDIDA,CÓDIGO DANE,CANTIDAD
01/03/2018 12:00:00 AM,AMAZONAS,LETICIA (CT),Miércoles,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,91001000,1
01/13/2018 12:00:00 AM,AMAZONAS,LETICIA (CT),Sábado,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,91001000,2
01/25/2018 12:00:00 AM,AMAZONAS,LETICIA (CT),Jueves,BASE DE COCA,VIAS PUBLICAS,RURAL,GRAMO,91001000,3
01/26/2018 12:00:00 AM,AMAZONAS,LETICIA (CT),Viernes,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,91001000,3
01/28/2018 12:00:00 AM,AMAZONAS,LETICIA (CT),Domingo,BASE DE COCA,AEROPUERTO,URBANA,GRAMO,91001000,14776
02/05/2018 12:00:00 AM,AMAZONAS,LETICIA (CT),Lunes,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,91001000,5
05/18/2018 12:00:00 AM,AMAZONAS,LETICIA (CT),Viernes,BASE DE COCA,RIOS,RURAL,GRAMO,91001000,14000
01/10/2018 12:00:00 AM,ANTIOQUIA,ABEJORRAL,Miércoles,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5002000,3
01/18/2018 12:00:00 AM,ANTIOQUIA,ABEJORRAL,Jueves,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5002000,4
01/19/2018 12:00:00 AM,ANTIOQUIA,ABEJORRAL,Viernes,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5002000,1
01/23/2018 12:00:00 AM,ANTIOQUIA,ABEJORRAL,Martes,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5002000,3
02/02/2018 12:00:00 AM,ANTIOQUIA,ABEJORRAL,Viernes,BASE DE COCA,FINCAS Y SIMILARES,RURAL,GRAMO,5002000,3
02/06/2018 12:00:00 AM,ANTIOQUIA,ABEJORRAL,Martes,BASE DE COCA,LABORATORIO DE CRISTALIZACION,RURAL,GRAMO,5002000,25000
02/14/2018 12:00:00 AM,ANTIOQUIA,ABEJORRAL,Miércoles,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5002000,55
03/10/2018 12:00:00 AM,ANTIOQUIA,ABEJORRAL,Sábado,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5002000,12
05/26/2018 12:00:00 AM,ANTIOQUIA,ABEJORRAL,Sábado,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5002000,70
05/28/2018 12:00:00 AM,ANTIOQUIA,ABEJORRAL,Lunes,BASE DE COCA,TRAMO DE VIA,RURAL,GRAMO,5002000,20
02/16/2018 12:00:00 AM,ANTIOQUIA,ABRIAQUÍ,Viernes,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5004000,2
04/05/2018 12:00:00 AM,ANTIOQUIA,ABRIAQUÍ,Jueves,BASE DE COCA,FINCAS Y SIMILARES,RURAL,GRAMO,5004000,6
04/13/2018 12:00:00 AM,ANTIOQUIA,ABRIAQUÍ,Viernes,BASE DE COCA,FINCAS Y SIMILARES,RURAL,GRAMO,5004000,2
05/24/2018 12:00:00 AM,ANTIOQUIA,ABRIAQUÍ,Jueves,BASE DE COCA,FINCAS Y SIMILARES,RURAL,GRAMO,5004000,3
03/09/2018 12:00:00 AM,ANTIOQUIA,ALEJANDRÍA,Viernes,BASE DE COCA,LABORATORIO DE CRISTALIZACION,RURAL,GRAMO,5021000,1036
01/03/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Miércoles,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5030000,4
01/27/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Sábado,BASE DE COCA,FINCAS Y SIMILARES,RURAL,GRAMO,5030000,4
02/03/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Sábado,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5030000,3
02/06/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Martes,BASE DE COCA,INTERIOR VEHICULO SERVICIO PUBLICO,RURAL,GRAMO,5030000,150
02/11/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Domingo,BASE DE COCA,VIAS PUBLICAS,RURAL,GRAMO,5030000,8
02/14/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Miércoles,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5030000,30
02/15/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Jueves,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5030000,70
02/17/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Sábado,BASE DE COCA,VIAS PUBLICAS,URBANA,GRAMO,5030000,150
02/26/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Lunes,BASE DE COCA,VIAS PUBLICAS,RURAL,GRAMO,5030000,15
03/03/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Sábado,BASE DE COCA,VIAS PUBLICAS,RURAL,GRAMO,5030000,2
03/05/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Lunes,BASE DE COCA,INTERIOR VEHICULO SERVICIO PUBLICO,RURAL,GRAMO,5030000,200
03/06/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Martes,BASE DE COCA,VIAS PUBLICAS,RURAL,GRAMO,5030000,3
